"Part";"Value";"Device";"Package";"Description";"CAP";"DATASHEETURL";"DCR";"ESR";"IDC";"IO";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFG";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PN";"PROD_ID";"SS24FL";"SUPPLIER";"VAL";"VALUE";"VDC";"VENDOR";"VFATIO";"VRRM";
"C1X";"0.1u";"CAP0606-CAP";"0603-CAP";"";"";"";"";"";"";"";"";"";"";"";"Vishay";"";"";"";"";"VJ0603Y104JXJCW1BC";"";"";"";"";"";"16";"";"";"";
"C20";".1uF";"CAP0606-CAP";"0603-CAP";"";"";"";"";"";"";"";"";"";"";"";"Vishay";"";"";"";"";"VJ0603Y104JXJCW1BC";"";"";"";"";"";"16";"";"";"";
"CPS1";"4.7uF";"C1608X5R1H105K080AB";"0603";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"C1608X5R1V475K080AC";"";"";"";"";"";"35";"";"";"";
"CPS2";"22uF";"8TPC22M";"CAPSMT_6_B1G";"";"2.2E5";"%20";"";"0.07";"";"";"1.0";"";"Panasonic";"8TPC22M";"Panasonic";"";"";"";"";"8TPC22M";"";"";"";"";"";"8.0";"Panasonic";"";"";
"CPS3";"10nF";"C0805C103K5RACTU";"0805";"";"1.0E8";"";"";"1.739";"";"";"0.411";"";"Kemet";"C0805C103K5RACTU";"KEMET";"";"";"";"";"C0805C103K5RACTU";"";"";"";"";"";"50.0";"Kemet";"";"";
"CPS5";"1uF";"C1608X5R1H105K080AB";"0603";"";"1.0E6";"httpsproduct.tdk.comensearchcapacitorceramicmlccinfo?part%5Fno%3DC1608X5R1H105K080AB";"";"0.005522";"";"";"2.21617";"";"TDK";"C1608X5R1H105K080AB";"Yago";"";"";"";"";"CC0603KRX5R9BB105";"";"";"";"";"";"50.0";"TDK";"";"";
"CPS6";"0.1u";"CAP0606-CAP";"0603-CAP";"";"";"";"";"";"";"";"";"";"";"";"Vishay";"";"";"";"";"VJ0603Y104JXJCW1BC";"";"";"";"";"";"16";"";"";"";
"CPS7";".1uF";"CAP0606-CAP";"0603-CAP";"";"";"";"";"";"";"";"";"";"";"";"Vishay";"";"";"";"";"VJ0603Y104JXJCW1BC";"";"";"";"";"";"16";"";"";"";
"CPS8";"1u";"CAP0606-CAP";"0603-CAP";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"C0603C105K4RACTU";"";"";"";"";"";"16";"";"";"";
"DPS2";"";"SS26FL";"SOD-123F";"";"";"httpswww.fairchildsemi.comdatasheetsSSSS24FL.pdf";"";"";"";"2.0";"";"";"Fairchild Semiconductor";"SS26FL";"ON Semi";"";"";"";"";"SS26FL";"";"";"";"";"";"";"Fairchild Semiconductor";"0.7";"60.0";
"DPS3";"TVS-DIODESMB";"TVS-DIODESMB";"SMB-DIODE";"TVS Diode";"";"";"";"";"";"";"";"";"";"";"Littlefuse";"";"";"";"";"SZP6SMB43CAT3G";"";"";"";"";"";"";"";"";"";
"DPS4";"SCHOTTKY-DIODESSOD123SOD";"SCHOTTKY-DIODESSOD123SOD";"SOD-123F";"SS24FL Schotkey Diode in SOD-123F package";"";"";"";"";"";"";"";"";"";"";"Fairchild";"";"";"";"";"SS24FL";"";"";"";"";"";"";"";"";"";
"F1";"LITTLEFUSE-1206L-PTC";"LITTLEFUSE-1206L-PTC";"1206";"LITTLEFUSE 1206L SERIES PTC";"";"";"";"";"";"";"";"";"";"";"Littlefuse";"";"";"";"";"1206L025YR";"";"";"";".25A Hold/.5A trip 16V";"";"";"";"";"";
"J1";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"3M";"";"";"";"";"929870-01-02-RA";"";"";"";"";"";"";"";"";"";
"LED_PWR";"APT2012CGCK";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"Kingbright";"";"";"";"";"APT2012CGCK";"";"";"";"";"";"";"";"";"";
